,_time,Protocol,Count,Traffic,class_1,class_2
0,2023-04-12 17:45:05.041756+00:00,ARP,5,300,normal,normal
1,2023-04-12 17:45:10.207494+00:00,ARP,6,342,normal,normal
2,2023-04-12 17:45:15.379502+00:00,ARP,7,420,normal,normal
3,2023-04-12 17:45:20.652658+00:00,ARP,4,240,normal,normal
4,2023-04-12 17:45:25.894635+00:00,ARP,6,342,normal,normal
5,2023-04-12 17:45:31.013143+00:00,ARP,5,300,normal,normal
6,2023-04-12 17:45:36.250701+00:00,ARP,11,660,normal,normal
7,2023-04-12 17:45:41.900854+00:00,ARP,16,960,normal,normal
8,2023-04-12 17:45:47.228287+00:00,ARP,5,300,normal,normal
9,2023-04-12 17:45:52.773579+00:00,ARP,17,1002,normal,normal
10,2023-04-12 17:45:58.379401+00:00,ARP,22,1320,normal,normal
11,2023-04-12 17:46:03.555717+00:00,ARP,10,600,normal,normal
12,2023-04-12 17:46:08.843562+00:00,ARP,12,702,normal,normal
13,2023-04-12 17:46:14.034868+00:00,ARP,8,480,normal,normal
14,2023-04-12 17:46:19.259803+00:00,ARP,7,402,normal,normal
15,2023-04-12 17:46:24.323456+00:00,ARP,12,702,normal,normal
16,2023-04-12 17:46:29.526537+00:00,ARP,11,660,normal,normal
17,2023-04-12 17:46:34.675754+00:00,ARP,3,180,normal,normal
18,2023-04-12 17:46:39.900686+00:00,ARP,11,660,normal,normal
19,2023-04-12 17:46:45.122632+00:00,ARP,9,540,normal,normal
20,2023-04-12 17:46:50.368719+00:00,ARP,9,540,normal,normal
21,2023-04-12 17:46:55.711351+00:00,ARP,8,462,normal,normal
22,2023-04-12 17:47:00.894383+00:00,ARP,5,300,normal,normal
23,2023-04-12 17:47:06.216817+00:00,ARP,6,342,normal,normal
24,2023-04-12 17:47:11.436179+00:00,ARP,4,240,normal,normal
25,2023-04-12 17:47:16.594631+00:00,ARP,5,300,normal,normal
26,2023-04-12 17:47:21.918794+00:00,ARP,5,282,normal,normal
27,2023-04-12 17:47:27.544446+00:00,ARP,3,180,normal,normal
28,2023-04-12 17:47:32.732897+00:00,ARP,9,540,normal,normal
29,2023-04-12 17:47:37.974623+00:00,ARP,7,420,normal,normal
30,2023-04-12 17:47:43.189129+00:00,ARP,16,960,normal,normal
31,2023-04-12 17:47:48.499587+00:00,ARP,4,240,normal,normal
32,2023-04-12 17:47:53.706015+00:00,ARP,11,642,normal,normal
33,2023-04-12 17:47:58.931049+00:00,ARP,19,1140,normal,normal
34,2023-04-12 17:48:04.113697+00:00,ARP,11,660,normal,normal
35,2023-04-12 17:48:09.314245+00:00,ARP,10,582,normal,normal
36,2023-04-12 17:48:14.572805+00:00,ARP,5,300,normal,normal
37,2023-04-12 17:48:19.705518+00:00,ARP,5,300,normal,normal
38,2023-04-12 17:48:24.908661+00:00,ARP,8,480,normal,normal
