,_time,host,name,io_time,iops_in_progress,merged_reads,merged_writes,read_bytes,read_time,reads,weighted_io_time,write_bytes,write_time,writes,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
1,2023-04-12 17:45:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
2,2023-04-12 17:45:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
3,2023-04-12 17:45:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
4,2023-04-12 17:45:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
5,2023-04-12 17:45:50+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
6,2023-04-12 17:46:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
7,2023-04-12 17:46:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
8,2023-04-12 17:46:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
9,2023-04-12 17:46:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
10,2023-04-12 17:46:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
11,2023-04-12 17:46:50+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
12,2023-04-12 17:47:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
13,2023-04-12 17:47:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
14,2023-04-12 17:47:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
15,2023-04-12 17:47:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
16,2023-04-12 17:47:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
17,2023-04-12 17:47:50+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
18,2023-04-12 17:48:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
19,2023-04-12 17:48:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
20,2023-04-12 17:48:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
21,2023-04-12 17:48:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
22,2023-04-12 17:48:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
23,2023-04-12 17:48:50+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
24,2023-04-12 17:49:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
25,2023-04-12 17:49:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
26,2023-04-12 17:49:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
27,2023-04-12 17:49:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
28,2023-04-12 17:49:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
29,2023-04-12 17:49:50+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
30,2023-04-12 17:50:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
31,2023-04-12 17:50:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
32,2023-04-12 17:50:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
33,2023-04-12 17:50:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
34,2023-04-12 17:50:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
35,2023-04-12 17:50:50+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
36,2023-04-12 17:51:00+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
37,2023-04-12 17:51:10+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
38,2023-04-12 17:51:20+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
39,2023-04-12 17:51:30+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
40,2023-04-12 17:51:40+00:00,pi3testbed,mmcblk0,1603112,0,4445,109383,604220416,74424,13848,57543323,8786871296,57463164,287345,normal,normal
41,2023-04-12 17:51:50+00:00,pi3testbed,mmcblk0,1603124,0,4445,109385,604220416,74424,13848,57543330,8786891776,57463171,287348,normal,normal
42,2023-04-12 17:52:00+00:00,pi3testbed,mmcblk0,1603128,0,4445,109388,604220416,74424,13848,57543333,8786912256,57463174,287350,normal,normal
43,2023-04-12 17:52:10+00:00,pi3testbed,mmcblk0,1603128,0,4445,109388,604220416,74424,13848,57543333,8786912256,57463174,287350,normal,normal
44,2023-04-12 17:52:20+00:00,pi3testbed,mmcblk0,1603128,0,4445,109388,604220416,74424,13848,57543333,8786912256,57463174,287350,normal,normal
45,2023-04-12 17:52:30+00:00,pi3testbed,mmcblk0,1603232,0,4445,109390,604220416,74424,13848,57544633,8787104768,57464474,287382,normal,normal
46,2023-04-12 17:52:40+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
47,2023-04-12 17:52:50+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
48,2023-04-12 17:53:00+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
49,2023-04-12 17:53:10+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
50,2023-04-12 17:53:20+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
51,2023-04-12 17:53:30+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
52,2023-04-12 17:53:40+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
53,2023-04-12 17:53:50+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
54,2023-04-12 17:54:00+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
55,2023-04-12 17:54:10+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
56,2023-04-12 17:54:20+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
57,2023-04-12 17:54:30+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
58,2023-04-12 17:54:40+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
59,2023-04-12 17:54:50+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
60,2023-04-12 17:55:00+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
61,2023-04-12 17:55:10+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
62,2023-04-12 17:55:20+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
63,2023-04-12 17:55:30+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
64,2023-04-12 17:55:40+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
65,2023-04-12 17:55:50+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
66,2023-04-12 17:56:00+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
67,2023-04-12 17:56:10+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
68,2023-04-12 17:56:20+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
69,2023-04-12 17:56:30+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
70,2023-04-12 17:56:40+00:00,pi3testbed,mmcblk0,1603236,0,4445,109390,604220416,74424,13848,57544635,8787108864,57464476,287383,normal,normal
71,2023-04-12 17:56:50+00:00,pi3testbed,mmcblk0,1603244,0,4445,109391,604220416,74424,13848,57544641,8787125248,57464482,287386,normal,normal
72,2023-04-12 17:57:00+00:00,pi3testbed,mmcblk0,1603248,0,4445,109391,604220416,74424,13848,57544643,8787129344,57464485,287387,normal,normal
73,2023-04-12 17:57:10+00:00,pi3testbed,mmcblk0,1603248,0,4445,109391,604220416,74424,13848,57544643,8787129344,57464485,287387,normal,normal
74,2023-04-12 17:57:20+00:00,pi3testbed,mmcblk0,1603248,0,4445,109391,604220416,74424,13848,57544643,8787129344,57464485,287387,normal,normal
75,2023-04-12 17:57:30+00:00,pi3testbed,mmcblk0,1603248,0,4445,109391,604220416,74424,13848,57544643,8787129344,57464485,287387,normal,normal
