,_time,host,interface,bytes_recv,bytes_sent,drop_in,drop_out,err_in,err_out,packets_recv,packets_sent,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi2testbed,wlan0,15071044719,1840189074,0,0,0,0,156292202,5261269,normal,normal
1,2023-04-12 17:45:10+00:00,pi2testbed,wlan0,15071072701,1840192778,0,0,0,0,156292492,5261283,normal,normal
2,2023-04-12 17:45:20+00:00,pi2testbed,wlan0,15071099577,1840196596,0,0,0,0,156292767,5261298,normal,normal
3,2023-04-12 17:45:30+00:00,pi2testbed,wlan0,15071121225,1840199794,0,0,0,0,156293012,5261306,normal,normal
4,2023-04-12 17:45:40+00:00,pi2testbed,wlan0,15071152095,1840203536,0,0,0,0,156293334,5261320,normal,normal
5,2023-04-12 17:45:50+00:00,pi2testbed,wlan0,15071185385,1840207374,0,0,0,0,156293664,5261335,normal,normal
6,2023-04-12 17:46:00+00:00,pi2testbed,wlan0,15071208968,1840210918,0,0,0,0,156293938,5261347,normal,normal
7,2023-04-12 17:46:10+00:00,pi2testbed,wlan0,15071238909,1840213956,0,0,0,0,156294222,5261354,normal,normal
8,2023-04-12 17:46:20+00:00,pi2testbed,wlan0,15071268408,1840217108,0,0,0,0,156294504,5261362,normal,normal
9,2023-04-12 17:46:30+00:00,pi2testbed,wlan0,15071285534,1840220551,0,0,0,0,156294715,5261373,normal,normal
10,2023-04-12 17:46:40+00:00,pi2testbed,wlan0,15071312525,1840224083,0,0,0,0,156294984,5261385,normal,normal
11,2023-04-12 17:46:50+00:00,pi2testbed,wlan0,15071342153,1840227418,0,0,0,0,156295281,5261395,normal,normal
12,2023-04-12 17:47:00+00:00,pi2testbed,wlan0,15071365007,1840230684,0,0,0,0,156295562,5261404,normal,normal
13,2023-04-12 17:47:10+00:00,pi2testbed,wlan0,15071402848,1840234318,0,0,0,0,156295898,5261417,normal,normal
14,2023-04-12 17:47:20+00:00,pi2testbed,wlan0,15071426263,1840237781,0,0,0,0,156296159,5261428,normal,normal
15,2023-04-12 17:47:30+00:00,pi2testbed,wlan0,15071443585,1840241476,0,0,0,0,156296378,5261442,normal,normal
16,2023-04-12 17:47:40+00:00,pi2testbed,wlan0,15071472143,1840244643,0,0,0,0,156296662,5261450,normal,normal
17,2023-04-12 17:47:50+00:00,pi2testbed,wlan0,15071496026,1840247788,0,0,0,0,156296938,5261458,normal,normal
18,2023-04-12 17:48:00+00:00,pi2testbed,wlan0,15071520858,1840251410,0,0,0,0,156297224,5261471,normal,normal
19,2023-04-12 17:48:10+00:00,pi2testbed,wlan0,15071553281,1840254602,0,0,0,0,156297530,5261479,normal,normal
20,2023-04-12 17:48:20+00:00,pi2testbed,wlan0,15071576960,1840258307,0,0,0,0,156297796,5261493,normal,normal
21,2023-04-12 17:48:30+00:00,pi2testbed,wlan0,15071593005,1840261479,0,0,0,0,156298011,5261501,normal,normal
22,2023-04-12 17:48:40+00:00,pi2testbed,wlan0,15071620429,1840264652,0,0,0,0,156298286,5261509,normal,normal
23,2023-04-12 17:48:50+00:00,pi2testbed,wlan0,15071645347,1840268386,0,0,0,0,156298556,5261523,normal,normal
24,2023-04-12 17:49:00+00:00,pi2testbed,wlan0,15071668098,1840271563,0,0,0,0,156298850,5261531,normal,normal
25,2023-04-12 17:49:10+00:00,pi2testbed,wlan0,15071705902,1840274820,0,0,0,0,156299236,5261540,normal,normal
26,2023-04-12 17:49:20+00:00,pi2testbed,wlan0,15071732802,1840278553,0,0,0,0,156299535,5261554,normal,normal
27,2023-04-12 17:49:30+00:00,pi2testbed,wlan0,15071749729,1840282265,0,0,0,0,156299751,5261568,normal,normal
28,2023-04-12 17:49:40+00:00,pi2testbed,wlan0,15071779003,1840286090,0,0,0,0,156300048,5261583,normal,normal
29,2023-04-12 17:49:50+00:00,pi2testbed,wlan0,15071803103,1840289820,0,0,0,0,156300328,5261597,normal,normal
30,2023-04-12 17:50:00+00:00,pi2testbed,wlan0,15071822922,1840293449,0,0,0,0,156300595,5261610,normal,normal
31,2023-04-12 17:50:10+00:00,pi2testbed,wlan0,15071851772,1840296894,0,0,0,0,156300882,5261621,normal,normal
32,2023-04-12 17:50:20+00:00,pi2testbed,wlan0,15071876161,1840300293,0,0,0,0,156301155,5261631,normal,normal
33,2023-04-12 17:50:30+00:00,pi2testbed,wlan0,15071893046,1840303782,0,0,0,0,156301371,5261643,normal,normal
34,2023-04-12 17:50:40+00:00,pi2testbed,wlan0,15071919838,1840307448,0,0,0,0,156301646,5261657,normal,normal
35,2023-04-12 17:50:50+00:00,pi2testbed,wlan0,15071943955,1840311157,0,0,0,0,156301920,5261671,normal,normal
36,2023-04-12 17:51:00+00:00,pi2testbed,wlan0,15071963385,1840314879,0,0,0,0,156302179,5261685,normal,normal
37,2023-04-12 17:51:10+00:00,pi2testbed,wlan0,15071991161,1840318393,0,0,0,0,156302461,5261697,normal,normal
38,2023-04-12 17:51:20+00:00,pi2testbed,wlan0,15072014951,1840322113,0,0,0,0,156302737,5261711,normal,normal
39,2023-04-12 17:51:30+00:00,pi2testbed,wlan0,15072035107,1840325573,0,0,0,0,156302976,5261722,normal,normal
40,2023-04-12 17:51:40+00:00,pi2testbed,wlan0,15072062822,1840329137,0,0,0,0,156303260,5261734,normal,normal
41,2023-04-12 17:51:50+00:00,pi2testbed,wlan0,15072085996,1840332294,0,0,0,0,156303530,5261742,normal,normal
