,_time,host,blocked,dead,idle,paging,running,sleeping,stopped,total,total_threads,unknown,zombies,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
1,2023-04-12 17:45:10+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
2,2023-04-12 17:45:20+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
3,2023-04-12 17:45:30+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
4,2023-04-12 17:45:40+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
5,2023-04-12 17:45:50+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
6,2023-04-12 17:46:00+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
7,2023-04-12 17:46:10+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
8,2023-04-12 17:46:20+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
9,2023-04-12 17:46:30+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
10,2023-04-12 17:46:40+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
11,2023-04-12 17:46:50+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
12,2023-04-12 17:47:00+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
13,2023-04-12 17:47:10+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
14,2023-04-12 17:47:20+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
15,2023-04-12 17:47:30+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
16,2023-04-12 17:47:40+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
17,2023-04-12 17:47:50+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
18,2023-04-12 17:48:00+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
19,2023-04-12 17:48:10+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
20,2023-04-12 17:48:20+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
21,2023-04-12 17:48:30+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
22,2023-04-12 17:48:40+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
23,2023-04-12 17:48:50+00:00,pi2testbed,0,0,59,0,0,110,0,169,249,0,0,normal,normal
24,2023-04-12 17:49:00+00:00,pi2testbed,0,0,59,0,0,110,0,169,249,0,0,normal,normal
25,2023-04-12 17:49:10+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
26,2023-04-12 17:49:20+00:00,pi2testbed,0,0,58,0,0,110,0,168,247,0,0,normal,normal
27,2023-04-12 17:49:30+00:00,pi2testbed,0,0,58,0,0,110,0,168,247,0,0,normal,normal
28,2023-04-12 17:49:40+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
29,2023-04-12 17:49:50+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
30,2023-04-12 17:50:00+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
31,2023-04-12 17:50:10+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
32,2023-04-12 17:50:20+00:00,pi2testbed,0,0,59,0,0,110,0,169,248,0,0,normal,normal
33,2023-04-12 17:50:30+00:00,pi2testbed,1,0,58,0,0,110,0,169,248,0,0,normal,normal
