,_time,host,load1,load15,load5,n_cpus,n_unique_users,n_users,uptime,uptime_format,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi2testbed,0.1,0.01,0.04,4,0,0,5339182,"61 days, 19:06",normal,normal
1,2023-04-12 17:45:10+00:00,pi2testbed,0.08,0.01,0.03,4,0,0,5339192,"61 days, 19:06",normal,normal
2,2023-04-12 17:45:20+00:00,pi2testbed,0.07,0.01,0.03,4,0,0,5339202,"61 days, 19:06",normal,normal
3,2023-04-12 17:45:30+00:00,pi2testbed,0.06,0.0,0.03,4,0,0,5339212,"61 days, 19:06",normal,normal
4,2023-04-12 17:45:40+00:00,pi2testbed,0.05,0.0,0.03,4,0,0,5339222,"61 days, 19:07",normal,normal
5,2023-04-12 17:45:50+00:00,pi2testbed,0.04,0.0,0.03,4,0,0,5339232,"61 days, 19:07",normal,normal
6,2023-04-12 17:46:00+00:00,pi2testbed,0.03,0.0,0.03,4,0,0,5339242,"61 days, 19:07",normal,normal
7,2023-04-12 17:46:10+00:00,pi2testbed,0.03,0.0,0.03,4,0,0,5339252,"61 days, 19:07",normal,normal
8,2023-04-12 17:46:20+00:00,pi2testbed,0.02,0.0,0.02,4,0,0,5339262,"61 days, 19:07",normal,normal
9,2023-04-12 17:46:30+00:00,pi2testbed,0.02,0.0,0.02,4,0,0,5339272,"61 days, 19:07",normal,normal
10,2023-04-12 17:46:40+00:00,pi2testbed,0.02,0.0,0.02,4,0,0,5339282,"61 days, 19:08",normal,normal
11,2023-04-12 17:46:50+00:00,pi2testbed,0.01,0.0,0.02,4,0,0,5339292,"61 days, 19:08",normal,normal
12,2023-04-12 17:47:00+00:00,pi2testbed,0.01,0.0,0.02,4,0,0,5339302,"61 days, 19:08",normal,normal
13,2023-04-12 17:47:10+00:00,pi2testbed,0.01,0.0,0.02,4,0,0,5339312,"61 days, 19:08",normal,normal
14,2023-04-12 17:47:20+00:00,pi2testbed,0.01,0.0,0.02,4,0,0,5339322,"61 days, 19:08",normal,normal
15,2023-04-12 17:47:30+00:00,pi2testbed,0.0,0.0,0.02,4,0,0,5339332,"61 days, 19:08",normal,normal
16,2023-04-12 17:47:40+00:00,pi2testbed,0.0,0.0,0.02,4,0,0,5339342,"61 days, 19:09",normal,normal
17,2023-04-12 17:47:50+00:00,pi2testbed,0.0,0.0,0.02,4,0,0,5339352,"61 days, 19:09",normal,normal
18,2023-04-12 17:48:00+00:00,pi2testbed,0.0,0.0,0.02,4,0,0,5339362,"61 days, 19:09",normal,normal
19,2023-04-12 17:48:10+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339372,"61 days, 19:09",normal,normal
20,2023-04-12 17:48:20+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339382,"61 days, 19:09",normal,normal
21,2023-04-12 17:48:30+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339392,"61 days, 19:09",normal,normal
22,2023-04-12 17:48:40+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339402,"61 days, 19:10",normal,normal
23,2023-04-12 17:48:50+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339412,"61 days, 19:10",normal,normal
24,2023-04-12 17:49:00+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339422,"61 days, 19:10",normal,normal
25,2023-04-12 17:49:10+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339432,"61 days, 19:10",normal,normal
26,2023-04-12 17:49:20+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339442,"61 days, 19:10",normal,normal
27,2023-04-12 17:49:30+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339452,"61 days, 19:10",normal,normal
28,2023-04-12 17:49:40+00:00,pi2testbed,0.0,0.0,0.01,4,0,0,5339462,"61 days, 19:11",normal,normal
29,2023-04-12 17:49:50+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339472,"61 days, 19:11",normal,normal
30,2023-04-12 17:50:00+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339482,"61 days, 19:11",normal,normal
31,2023-04-12 17:50:10+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339492,"61 days, 19:11",normal,normal
32,2023-04-12 17:50:20+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339502,"61 days, 19:11",normal,normal
33,2023-04-12 17:50:30+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339512,"61 days, 19:11",normal,normal
34,2023-04-12 17:50:40+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339522,"61 days, 19:12",normal,normal
35,2023-04-12 17:50:50+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339532,"61 days, 19:12",normal,normal
36,2023-04-12 17:51:00+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339542,"61 days, 19:12",normal,normal
37,2023-04-12 17:51:10+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339552,"61 days, 19:12",normal,normal
38,2023-04-12 17:51:20+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339562,"61 days, 19:12",normal,normal
39,2023-04-12 17:51:30+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339572,"61 days, 19:12",normal,normal
40,2023-04-12 17:51:40+00:00,pi2testbed,0.0,0.0,0.0,4,0,0,5339582,"61 days, 19:13",normal,normal
